numeroruc,canal,grupo_propension_cartera,prioridad,experimento,rol_experimento,grupo_gestion_asignado,score_propension
07AA9EDD2D087B0EF741F5B6B5C45F85084604D9DFC0FBECD6329C7141AF79EF,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.633616344493144
429E0E8E48FE7526223775AAA0772D205F20034A28722046999EA9CFD2A59E02,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6335997374822874
B75907C1370FEE6DAD544CB1C75513493B0ED179DDB8E4E877BEB7127B40B77A,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6328854522750115
767E2631997A365B01400208DC6F3C882623DA05D11964D727304CE62F3DAD74,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6327642595915172
A1A42985F58F2B9CF99050105FA96AFE8A0E934D75D2D4C1EFD036E4B8DBC29F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6327614441534826
3D89F929AB4F818E5F2CF0FD5FD66C01715BF39F5853ED6429C7A95A3F790882,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6324929389089163
26E5C6ACDFC0FCA2AE9B45AAE3643963CBDCF8A094842A1CAADD56916BE94F8F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.632258426908493
EB5322C8C5F761569DFBE0E8C6268AE1036B97B41CF1EFCA31ABAF0614371FF3,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6321161377436045
D75116549365D6C85FC14569F0CCAB079CA3902FFEA8C5635DC2647EF8B59680,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6319561367943
F8C977C5FCE29DDD3FB8871EDB14731708F4BE27A43F7CA0A460092B0DEFC96A,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6316244397050301
562049899164A95A8E4196AB6C159DE26F8B9224684BA10AD478E3DB54FE563B,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.631606599422183
B81E9F7F59744214810C5C55EAEA489D288C1CB9D604A578B18D784285E84ED2,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6313255163795651
2FC4A30B70597F9DE08755AD370AA1F77B0EA5DEFE621C4487606E604A28C157,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6312914561973137
8DF4D93C99E4AB84926933B8673E5C32C20586B99DCC45000E5304E627798E5C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6310331677297857
55D5EC6A8CF81BEDEC277CF56EA7F24686A050DCB0056EE4B16F006DCCEB2094,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.63061731760196
BCFEA92F698506D3FEDD30659F257FF347E4D681E1433513461E7D3243B879FA,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6294173343463002
B12EFB02729FCD944757982806F8D6C0A7BE2CE508B3C8A5C8311ED712F66226,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6292565652229576
E2B844A23166B29AE34416FC9AC357795DC20B0B8B29E536286702B0D0317293,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.628600413709547
DF9B5948CD29AC392C3AB1975843B5C9ABA46CA1E0AD6B26B29A7BD73ACB73FD,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6285610740739446
DF5FA6F00FB3F53050EAB7F9931D12B5CB7EDD74E39BEBEF4ECCD8F41FB39327,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6279352041663835
250F1EB72E8A56571ABC41BD8F4025FFF6F59FCE299E0FA10982EEEA961C7788,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6278715417609453
2F1F709A8DA0483CDC8DE0DAACF094312103FCF447E0A7134D488383DB470505,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6278488585040345
1FD6D8C6FCB9B9A449270D25684948D8FB5A8FAE7E7C41DF6A6EF04308E1B44E,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6277564204031204
A4E130EF226A6A92F3C6ECCF6AC6DEC1C186DBE68724C9AB550FD82DE44C80C9,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6276981963826286
B60EC4B67E6F152ACFBD71E0B678A5855541DD410CFD4A257B823795081E308F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6276134266894466
576D0D5836EE29A7B21F78C3F85A225E251E3D408D95D645FA8701102ACB92AE,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6274638661383809
289DC74CB8A4D3FF0156B7E50D59DA96BB018669171A22604D380151B142789A,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6267853540548121
E91E4394D5E22006165782196F1B35D6BB619EA7B37BB83B0DA08CA4FEC5CAC5,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6264303086736981
0963579030F3355BDC3DAFB3AB11057F99A5CDC4209B8D82DEC6FD666DDE4009,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6260632892684322
043048FFEADED9CBD77875476D57080738709A2A710AFE6E71492F0A50C683C4,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6259582285575402
9618C1AD8B4ACE5EB7146BC2997E05B3FB31706267FF5CE277CEB5A032AEB183,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6256889550340875
B51897E14C118AA723067B5E1A8160411C1F59E73FCCC290EEB7BE421C65364C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.625563841428677
2E005EF8ECB0C57579F598841BBA48251FA86B1F94A45ABDA6B008CD4A2E5243,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6253225480253468
62220B620E562250793C3D78FCB2E8498BCF8BA8AE36BB99025488A1C6EF2FFB,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6252256155538752
E3D913FE12270E0087861D3CDFD8FF7C91AF5F91608171338E24F42930A8BCE9,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.624741342872603
2BB3CE48C09A62BE731DC7BB19E83EC647C1AEFF9216C272D17F74E82DED2361,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6244507965751117
FAD4942C7F860DF062CB768A17846C51B21A4B4704B0F0E89F6E6DA3D307EE80,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6242696280012281
70B4B2E9822FE2562C54D21A01586B447A4AE8E551CBF5C56B468082254FDD8F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6241034628435761
EDBFF08CFEECCD79AA2B678DB4652E07ED7F3703ED536DBB8641C1D3E2592587,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6233014870960022
BBB863052B6876BE257390BF05D0EA83F2FAC18C4AEBCE71A3BFE78A68F9E7C5,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6232392101377361
C1E6F21600E5FEB8566A8B0035669F5ADE0FAD1094F7132584D28F7BAC32E22C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6230654042971481
CF27BAA3F98A45D7522A36BDC3509BE20C64835D2D3745307CC3DEEA6D9B4D76,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6229772329550397
70B0C315859FB8F351C4E203587DB7CD274161D70544398C62F2C636E7B16788,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6229173863965132
A274D9761C154130D77BCA2EDA545BC006A0C8879D24CC8F024C19445AEC0C92,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6228609939117147
B4FB944D928713D1EC30DBA287FACB0BBB83E0D0A46C35D64A4B2BD335EB67E5,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6226347513031537
450F3F25678324D6F887147887767B65F61EC1F9E3BABFD56CB65F229355059A,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6224464888876492
331DABFC6B75DC59EF81D8B69A26B9E2160AAB0BBCEC3CDFB2E32019C1BE4AA8,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6224028588190837
2BB63662D2D7084C93763599CB29DB7BD01C0794D33A06962B73EED8740D8D15,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.62238221749594
C2FBFED94B9E9AECEBD52BB96D3E4B4FC60441B7B8C3FB1955FA45BD0FF6A73D,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6223704306380947
BB5F240AEEA6B53B0321079057CE39885864BAD505126A87FFF018382BF7C408,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.62205301232042
1954BB069AA487EB90580D81AC88B53709AC87883E930A889C5D115C3DCFF68A,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6217043185665287
91FA71B7466105FE0F6C0A214D5676C0F4CBEEC737C6C5C8D537E161A4068E42,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6215806121475372
638B7D07A2C6695920454E666655FDBF5BAA576FEB9954C050B4D87D188F97B0,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6213428252462236
2C9759B31363538FA6361117F5BAD5D68A26681D29B55BC50C6AF234B9EABDC5,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6207774855609116
5D84904FE717568E39FCC4D1DFA8348330469CD673487686B6AFEE1E3E2F98B1,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.620679046879126
AC6C27021CCAA4D9EDE108468317F9F18059B886F3277FCA8AEEEDD9196BE3C7,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6206128195545231
52D545E76837481FEFC2DBF0DAE57000EDB7BBE8BC13C1787001A7D5208BA52F,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6204504955765584
E2377533DE303A8590F248CD2D0560CFD55E7E9DF5A3D8EA89F96782BA05E238,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6204292914261272
19CA39179BAB2C91F5F531BE4516697E274741BF9935163B127832ED6FA73BA0,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6204202443889082
2C400191B7B6C0669E498B1D514E3C685B4AE01B25F07B6A3933CCCFC732E259,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6202753209366837
E159BAB6AD6135D367C45699D45507C267B63D3C888FE2A43CFB756220DD9896,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6202572330490019
84060313A54A3226552494BFD14C22FA51D8DA83444696A61CB6A3EBB0C82DC2,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.620169470187472
E74F76F1141603CCAF7EFD0052DBB749AADC03B7958940888B22D6BC02896893,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6199819512169868
5D139F06A05F855301C1B65C6415EC8D81F3098C6FFD6EB361A1EDDB06694467,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6199309215160221
60DB16F01449CB1722B254A6A71E458670C548C27BE18A44A6921A6FAD3A50D5,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6195927495796469
35B8F39ACE50C5AC04D53BF3624C3CED604EA544F35E1CE3C5B06437535002D2,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6194791716805754
F5E682742BD3F0C992860F0DDFDC70F5EFD163FB9355CAC8D6A4783C787B5465,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6193913660913896
3C4BD05C0995719873144794F7278EF6E8F9196396DE8E2908062F5AEAAE8F72,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6192819385494294
BC17D65CE947FA58B8EB1EA8E082FBD2D5BC68479702A797E1BD542601CA497B,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6192266439292529
7176EAEEE52628F8AD629E4706AC104DA74E2CB43E58D62C2E5EC47DCC6BEDBD,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6188897524758096
D5F4D83E3EDC9CF0EE54A11BED957366C4AF6B043EA9F2075F6E7CDB19B2BC86,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6187731615406293
310BE8ADA067C6D50A09F4AD56BD34E4F171C03DD492B6C1762E25DC4C6A7DC3,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6187640977949106
2365B01CD846B232ABF6943FE30E1E38A3CC97A7EC4779D96B2C8383A73F1404,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6187440950759188
AE184801CE6B6DA9CAED36C1C43369F2DE75A3CC67B1855BFDCB12DBF0633C98,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6184535647376499
FF3053D161C68514E1EBE1C682563ABA2E282D5EEC0B71E3485637728B0AB71C,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6182628900384948
4EF6A12F8583BC9723BC2DADE180383EF4C9E3C2353C4B5BC5101836CBC91FF4,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6180228147351449
DCCEF6FE22342D37479C9787E9C84FD9A515C4B5F1CB08755C56317EE759A265,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6179325208759917
CDB6AD398E06DD94331CB50832241734C2F1D563C2D00B2B22DB942FCACE900E,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6177799301418169
05632F900D16AEDD63C9A0E33A464190672028CA5AA74ACAFEF954293A16DCAF,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6176932186128841
8A9737F88DA4EC791B13C9C84C6F7B4C79D6A5E07EA00F818C38D05C3D5532BE,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6176753621199951
16AFE11BEE9C2F260ABF5A645A9DD96F57D90E663754D889DD77B0EDB99441F1,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6176728475415335
CC642D781CDDC7596F1E0DE0BF4C39B004412400480C767703A64EFA9BF77EA8,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6173136773099185
CA7F9BDB4475B87FA722DA2A374869B347F9627A4D16B683250127FF5BBFCD24,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6172148210097196
F2F847275B25101E39A1FC0DF793D8AC5822DF2BB1C0713FB40C13B69EF9436E,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6171590756324389
8DB19D47E7D10485BC0FC6E72435CC894D8B470C63DAD7BBC2E08DF75569C4FE,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6171092489369879
CDB832D02D15090ECFD01D0A18EB259A723EB12D544E1E2128C57293A83B5E13,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6168789304992118
FED925E4BCD0FCABC626D164024E2BE50B64D380ABEBB7EF175967313DE61520,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6165759476357447
08844E5CE264BAF70FA21F4E00739BDF536FFCA4FB65736AA5B09A70C114474B,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6163747826751804
0D26FF3084AB10C102263E64F656F35C37A5EE860C1C54C408E6FAA5E235C233,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6163593766414092
7440BF1E080BCB731923966ED662AD725EE229A0B4C18FED9646B2E749ACF989,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.616205683898401
4E0D21F9E55F5596D2EBFB911CC884E24BB271FC178BFA2879F37A629E24C299,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6161688200407774
48D45A4C1025A25EF9A15DB49DD1D20FB7D053F65F83DC5EAE4EEC2D05020C1F,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6160664776222342
4B284F305F00E1AD480045134D36A91B8D0BF21CE421973C4C8AC04C8849CDE6,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6157724473072647
31CE76C467DD165EF7F2D8CCFEEDE61A0FFE6A8DD60E7D80BD86B6CCFCA9A070,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6157600703043696
36E35860F7576B5BF4115BF0672E61325475FE20E4911E5B3C70B683E35E830D,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6157163755867802
09E7139030FDB9E073B356BF7F59E93FD553449711001A348F2C70C6E37F345B,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6156284019480304
0A9C1333F4DAAA22186978F7C508F8734232CC51411B4616D704E62F0E005BF9,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.61556010246949
8B6AA02DC70E2F0E98D241834C3092EBC55C316D598D03E10D5CB61E3F676EC5,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,CONTROL,P2,0.6153862907026925
1FA8F719CD6B2BD45A0E0A23636573505E89A7708AD08526AFCC50A2BB06BFBA,VIRTUAL,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6153300343210015
C6E9232BF87D2F126FE307B02AD58A2B3B7E8A87C14D84A9C87AE84DCB7DF5E2,TIENDAS,1. MUY ALTO,P1,EXP_P1_baja,PILOTO,P1,0.6152791737237069
